/usr/local/Cellar/python/2.7.12/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/seanstappas1/PycharmProjects/qbert-reinforcement-learning/main.py
06-11-2017:19:04:16,571 INFO     [main.py:play_learning_agent:24] Plot filename: seed598
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:25] Agent type: subsumption
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:26] Distance metric: None
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:27] Exploration: combined
A.L.E: Arcade Learning Environment (version 0.5.1)
[Powered by Stella]
Use -help for help screen.
Warning: couldn't load settings file: ./ale.cfg
Game console created:
  ROM file:  qbert.bin
  Cart Name: Q-bert (1988) (Atari) [!]
  Cart MD5:  484b0076816a104875e00467d431c2d2
  Display Format:  AUTO-DETECT ==> NTSC
  ROM Size:        4096
  Bankswitch Type: AUTO-DETECT ==> 4K


WARNING: Possibly unsupported ROM: mismatched MD5.
Cartridge_MD5: 484b0076816a104875e00467d431c2d2
Cartridge_name: Q-bert (1988) (Atari) [!]

Running ROM file...
Random seed is 459
06-11-2017:19:06:50,143 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:51,331 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:52,936 INFO     [main.py:play_learning_agent:44] Episode 19 ended with score: 11125
06-11-2017:19:06:53,900 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:55,439 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:06:56,298 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:06:57,774 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:04,545 INFO     [main.py:play_learning_agent:44] Episode 20 ended with score: 6475
06-11-2017:19:07:05,845 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:07,746 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:08,749 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:07:10,339 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:13,353 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:19,535 INFO     [main.py:play_learning_agent:44] Episode 21 ended with score: 6800
06-11-2017:19:07:20,601 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:22,73 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:07:24,700 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:27,204 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:07:28,999 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:30,376 INFO     [main.py:play_learning_agent:44] Episode 22 ended with score: 10000
06-11-2017:19:07:31,278 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:36,305 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:07:37,23 INFO     [main.py:play_learning_agent:44] Episode 23 ended with score: 4675
06-11-2017:19:07:37,973 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:39,394 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:45,322 INFO     [main.py:play_learning_agent:44] Episode 24 ended with score: 1925
06-11-2017:19:07:46,228 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:47,788 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:50,789 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:07:51,397 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:52,786 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:07:57,530 INFO     [main.py:play_learning_agent:44] Episode 25 ended with score: 7000
06-11-2017:19:07:58,479 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:00,40 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:07,636 INFO     [main.py:play_learning_agent:44] Episode 26 ended with score: 2150
06-11-2017:19:08:08,531 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:11,535 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:15,972 INFO     [main.py:play_learning_agent:44] Episode 27 ended with score: 2025
06-11-2017:19:08:17,56 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:18,89 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:20,224 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:08:21,669 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:24,979 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:08:26,191 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:27,95 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:29,992 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:08:31,196 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:33,663 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:34,7 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:08:34,937 INFO     [main.py:play_learning_agent:44] Episode 28 ended with score: 18975
06-11-2017:19:08:36,6 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:37,50 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:40,741 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:08:42,3 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:50,334 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:51,621 INFO     [main.py:play_learning_agent:44] Episode 29 ended with score: 6625
06-11-2017:19:08:52,523 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:53,579 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:08:56,923 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:08:59,510 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:08,132 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:09:08,529 INFO     [main.py:play_learning_agent:44] Episode 30 ended with score: 9625
06-11-2017:19:09:09,429 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:13,789 INFO     [main.py:play_learning_agent:44] Episode 31 ended with score: 1150
06-11-2017:19:09:14,718 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:19,395 INFO     [main.py:play_learning_agent:44] Episode 32 ended with score: 1125
06-11-2017:19:09:20,290 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:22,313 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:22,835 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:09:24,736 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:28,946 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:09:30,681 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:33,615 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:09:35,163 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:36,384 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:38,512 INFO     [main.py:play_learning_agent:44] Episode 33 ended with score: 14850
06-11-2017:19:09:39,456 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:41,403 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:44,606 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:09:45,586 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:47,334 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:48,114 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:09:49,252 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:51,545 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:52,168 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:09:53,456 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:54,945 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:56,335 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:09:57,684 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:09:59,335 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:02,998 INFO     [main.py:play_learning_agent:44] Episode 34 ended with score: 21675
06-11-2017:19:10:04,99 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:05,600 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:05,813 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:10:07,173 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:10,258 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:10,844 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:10:11,334 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:16,645 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:10:18,86 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:19,144 INFO     [main.py:play_learning_agent:44] Episode 35 ended with score: 14925
06-11-2017:19:10:20,69 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:21,3 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:23,738 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:10:24,820 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:26,485 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:10:27,35 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:29,845 INFO     [main.py:play_learning_agent:44] Episode 36 ended with score: 9900
06-11-2017:19:10:30,806 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:38,821 INFO     [main.py:play_learning_agent:44] Episode 37 ended with score: 1450
06-11-2017:19:10:39,771 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:40,672 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:46,670 INFO     [main.py:play_learning_agent:44] Episode 38 ended with score: 1775
06-11-2017:19:10:47,716 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:49,382 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:50,914 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:10:52,427 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:10:57,895 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:00,204 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:11:01,591 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:03,895 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:11:06,48 INFO     [main.py:play_learning_agent:44] Episode 39 ended with score: 14825
06-11-2017:19:11:06,969 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:07,872 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:14,676 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:11:15,219 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:17,2 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:18,949 INFO     [main.py:play_learning_agent:44] Episode 40 ended with score: 6625
06-11-2017:19:11:19,866 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:21,405 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:24,596 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:11:25,800 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:27,447 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:29,578 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:11:31,515 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:34,345 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:11:35,545 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:37,895 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:43,687 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:11:44,929 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:45,973 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:47,765 INFO     [main.py:play_learning_agent:44] Episode 41 ended with score: 20850
06-11-2017:19:11:48,699 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:50,181 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:51,305 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:11:52,672 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:11:54,502 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:11:58,206 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:04,39 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:12:05,759 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:08,131 INFO     [main.py:play_learning_agent:44] Episode 42 ended with score: 14675
06-11-2017:19:12:09,14 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:12,212 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:12:13,529 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:15,499 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:16,232 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:12:18,391 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:21,320 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:24,358 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:12:25,983 INFO     [world.py:perform_action:647] Killed Coily!
